state,region,num_wineries,Lat,Lng
California,San Antonio Valley,10,37.3917578,-121.4903848
California,San Benito County,38,36.5760883,-120.9876321
California,San Bernabe,9,34.115784,-117.302399
California,San Diego County,2,32.7157305,-117.1610966
California,San Francisco Bay,14,37.6909682,-122.3107517
California,San Francisco Bay-Livermore Valley,8,37.6795353,-121.7215095
California,San Lucas,5,22.8905327,-109.9167371
California,San Luis Obispo,15,35.2827524,-120.6596156
California,San Luis Obispo County,130,35.3102296,-120.4357631
California,Santa Barbara,14,34.4208305,-119.6981901
California,Santa Barbara County,1000,34.4208305,-119.6981901
California,Santa Clara County,5,37.3336581,-121.8907041
California,Santa Clara Valley,104,37.2488478,-121.8399593
California,Santa Cruz County,2,37.0453988,-121.9579578
California,Santa Cruz Mountains,548,37.1108921,-121.8448906
California,Santa Lucia Highlands,806,36.4307709,-121.4203754
California,Santa Margarita Ranch,12,35.39798440000001,-120.613122
California,Santa Maria Valley,704,34.898383,-120.443036
California,Santa Ynez Valley,812,34.5841542,-120.0973685
California,Shenandoah Valley (CA),143,38.5348836,-120.792458
California,Sierra Foothills,399,33.3235007,-111.9886496
California,Sierra Pelona Valley,2,34.4769379,-118.3286905
California,Solano County,30,38.3104969,-121.9017954
California,Solano County Green Valley,3,38.2529705,-122.1621917
California,Sonoma,5,38.291859,-122.4580356
California,Sonoma Coast,1474,38.4242109,-123.1011733
California,Sonoma County,1246,38.5779555,-122.9888319
California,Sonoma County-Lake County,3,39.08396440000001,-122.8084496
California,Sonoma County-Monterey County-Napa County,5,38.5024689,-122.2653887
California,Sonoma County-Monterey County-Santa Barbara County,6,38.4473235,-122.730368
California,Sonoma County-Napa County,26,38.291859,-122.4580356
California,Sonoma County-Santa Barbara County,1,38.5779555,-122.9888319
California,Sonoma Mountain,142,38.3229698,-122.5749837
California,Sonoma Valley,661,38.3668797,-122.4974823
California,Sonoma-Napa,19,38.291859,-122.4580356
California,Sonoma-Napa-Lake,1,38.5477595,-122.5106037
California,Sonoma-Napa-Mendocino,1,38.283957,-122.456822
California,Sonoma-Napa-Monterey,1,36.5822807,-121.8303061
California,Sonoma-Santa Barbara-Mendocino,1,38.283957,-122.456822
California,South Coast,58,33.69100299999999,-117.8889767
California,Spring Mountain District,136,38.5244649,-122.5512918
California,St. Helena,232,38.5052, -122.633316
California,Sta. Rita Hills,975,34.66595650000001,-120.1152408
California,Stags Leap District,155,38.4141825,-122.3213126
California,Suisun Valley,30,38.2638535,-122.1139504
California,Tehama County,1,40.0982197,-122.174605
California,Temecula,26,33.4936391,-117.1483648
California,Temecula Valley,166,33.4739175,-117.1405868
California,Templeton Gap District,38,33.8213349,-116.5452378
California,Tuolumne County,5,38.029655,-119.9740534
California,Ventura County,3,34.3704884,-119.1390642
California,Yolo County,47,38.7646021,-121.9017954
California,York Mountain,9,35.5461,-120.8332
California,Yorkville Highlands,79,38.8979586,-123.2144507
California,Yountville,92,38.40157809999999,-122.3608105
Colorado,Colorado,27,39.5500507,-105.7820674
Colorado,Grand Valley,41,42.9641221,-85.8890404
Connecticut,Western Connecticut Highlands,3,41.3966444,-73.4542967
Hawaii,Hawaii,1,19.8967662,-155.5827818
Idaho,Idaho,28,44.0682019,-114.7420408
Illinois,Illinois,6,40.6331249,-89.3985283
Iowa,Iowa,4,41.8780025,-93.097702
Kentucky,Kentucky,1,37.8393332,-84.2700179
Massachusetts,Massachusetts,1,42.4072107,-71.3824374
Massachusetts,Southeastern New England,6,41.5294547,-71.2967937
Michigan,Lake Michigan Shore,27,42.2208698,-86.369469
Michigan,Leelanau Peninsula,27,45.2083328,-85.5417523
Michigan,Michigan,14,44.3148443,-85.60236429999999
Michigan,Old Mission Peninsula,46,44.8839492,-85.50972259999999
Missouri,Augusta,8,33.4734978,-82.0105148
Missouri,Missouri,25,37.9642529,-91.8318334
Nevada,Nevada,4,38.8026097,-116.419389
New Jersey,New Jersey,6,40.0583238,-74.4056612
New Jersey,Outer Coastal Plain,2,39.03678,-74.78460989999999
New Mexico,New Mexico,45,34.5199402,-105.8700901
New York,Cayuga Lake,72,42.6776693,-76.6990172
