Flavor
Earth
Floral
Fruit
Sweet
Spice
Nut
Cocoa
Toast
Herb
Pepper
Vanilla
Berry
Plum
Cherry
Peach
Orange
Lemon
Mint
Rosemary
Leather
Bacon
Olive
Oak
Wood
Garlic
Tart
Bitter
Dry
Cinnamon
Licorice
Caramel
